BORE,ROD,STROKE,MOUNTING,WEIGHT,RAW_MAT,PROCESS,TOTAL
80,45,426.0,TR+RE,65,10800,14650,33800
80,56,400.0,TR+RE,82,15400,16600,41250
80,45,950.0,TR+RE,94,16100,17250,42550
280,160,1750.0,TR+RE,2199,280500,131800,579900
160,110,1375.0,TR+RE,608,68900,55300,184300
125,90,140.0,,178,20400,26100,68000
160,40,125.0,DA CL,98,13600,18200,46800
160,40,400.0,TR+RE,140,19950,22300,55250
100,25,300.0,,53,8100,15950,33050
100,70,165.0,,66,11800,17200,43000
31,110,125.0,,421,37100,36550,131850
160,45,250.0,RE,136,16800,20350,55150
50,28,250.0,RE+CL,22,7050,10930,27980
40,28,250.0,RE BC,37,8150,16200,35850
80,56,850.0,RE+TR,118,15000,20000,45400
63,40,200.0,DA MF,51,15800,15500,40500
63,45,800.0,DA FF,67,19300,15150,45950
50,36,430.0,RE+CL,32,10300,12100,32100
40,25,300.0,RE+CL,20,9500,10500,29500
63,45,800.0,DA FF,60,18550,15800,46350
50,32,125.0,TR+RE,30,5200,14450,26530
63,45,100.0,DA FF,47,5800,13800,26900
80,56,100.0,MF,75,9500,15150,33750
125,90,860.0,TR+RE,295,33900,30600,83200
80,56,70.0,MF,75,9500,15100,33200
160,110,1225.0,TR+RE,625,70000,42250,141350
125,90,885.0,CL,256,30100,27700,75000
80,56,1050.0,TR+RE,122,13600,18700,43300
100,70,580.0,TR+RE,154,17200,17150,47050
80,56,20.0,MF,86,10300,13950,33950
80,56,20.0,MF,86,10300,13900,33900
63,45,170.0,FF,48,5800,14800,27900
250,160,150.0,FF,996,118700,52200,226200
100,55,620.0,TR+RE,200,23300,34400,202700
50,20,95.0,RE+TR,16,2000,9550,16150
63,20,95.0,RE+TR,17,2200,9600,16950
80,25,50.0,,20,2500,6800,15160
80,25,180.0,,20,2600,6850,15310
63,16,49.0,,25,10300,12250,35650
63,45,100.0,LUG,57,8550,15840,35520
63,45,180.0,LUG,59,8810,16690,36830
40,28,300.0,TR+RE,30,4200,11200,20200
100,63,15.0,MF,111,16600,16900,44800
63,45,90.0,MF,48,6100,14200,28100
80,56,80.0,MF,75,9400,15100,32600
200,140,1150.0,,561,87380,52220,184300
50,36,150.0,CL,17,3700,8750,17750
200,90,470.0,BC,300,46850,27900,109250
160,70,550.0,TR+RE,220,31450,25550,75650
160,110,700.0,,301,39760,31900,91160
125,90,1300.0,RE+TR,340,52720,44200,305120
100,70,690.0,RE+TR,197,26100,34800,227200
180,125,150.0,DA FF,545,63100,38500,253650
80,56,150.0,RE+TR,92,8710,23100,164460
100,56,310.0,RE+CL,113,14300,16900,51700
50,36,90.0,CLEVIS,22,3860,11800,21560
32,18,35.0,RE+CL,16,1800,9695,15845
80,56,1000.0,RE+CL,91,17400,11800,45900
160,100,640.0,RE+CL,437,55900,36800,148950
100,56,600.0,RE+TR,131,22450,16915,51350
80,56,250.0,RE+CL,44,7800,8570,36620
50,36,300.0,RE+TR,33,9600,12300,28500
100,70,650.0,RE+CL,130,18850,15100,49970
180,125,150.0,DA FF,545,63065,38430,253545
63,45,850.0,RE+CL,78,10819,16800,49419
63,45,150.0,RE+CL,55,8200,14800,44300
63,45,860.0,RE+CL,80,11100,17100,50000
160,40,400.0,RE,118,49900,28000,97900
100,45,135.0,TR+RE,92,14300,18300,43600
200,90,350.0,MF,365,47900,32700,118600
80,36,150.0,MF+CL,52,6500,15400,32600
80,36,25.0,RE+TR,8200,13300,2500,31000
160,100,1530.0,BC DA,465,66300,36960,153210
160,100,1530.0,BC DA,495,66300,36960,151210
100,50,120.0,DA NC,100,17100,16800,50900
250,60,470.0,CL,193,25800,29550,84350
200,110,125.0,RE,241,29800,22800,90100
350,80,570.0,,980,167460,55800,256860
180,100,450.0,TR+RE,78,81500,55300,187280
200,125,400.0,RE,420,129130,76500,258130
100,70,140.0,MF,75,13100,12600,38700
100,25,250.0,MF,58,8800,12500,30900
159,75,65.0,,15,1150,2590,4240
100,30,70.0,,46,6900,13800,39700
125,50,130.0,CL+RE,83,13600,21700,47300
80,36,180.0,RE+CL,39,6400,10900,26300
40,15,80.0,CL+RE,316,2500,11100,21100
250,63,505.0,RE+CL,316,55770,37950,127900
200,110,570.0,RE+TR,988,141700,69300,267300
125,90,375.0,RE+CL,362,47100,31900,109800
177,127,1848.0,RE+CL,777,103956,59600,206556
200,125,750.0,TR+RE,1707,262055,104900,512455
100,56,787.0,RE+CL,117,19100,23700,56800
160,90,2250.0,RE+CL,720,93100,68300,199900
100,56,780.0,MF,128,16570,20300,51370
140,110,600.0,MF,258,26050,24200,64750
40,22,60.0,,12,2500,7870,13870
140,110,150.0,MF,202,20495,18750,53245
80,56,540.0,RE+CL,65,11980,15450,39030
100,70,160.0,RE+CL,96,12400,18100,42000
63,35,100.0,RE+CL,40,5600,10700,24100
140,110,450.0,,1400,237500,148200,438700
100,70,500.0,,125,24700,16700,59000
80,56,650.0,BC DA,108,14600,15400,45900
80,45,985.0,RE+TR,89,12500,18950,49450
40,28,75.0,LUG,16,3500,11200,23200
80,56,1650.0,RE+TR,127,19600,22900,61500
50,36,300.0,RE+TR,32,11500,11700,34800
80,56,1500.0,RE+TR,104,23700,18900,56700
127,143,1221.0,ST,43,8100,6250,15350
63,45,200.0,RE+CL,42,5800,12200,27000
125,80,250.0,CL+TR,280,43600,28850,105950
200,80,230.0,MF,213,29500,18800,65000
150,75,3962.0,LUG,537,66580,46200,127080
100,56,610.0,TR+RE,155,19500,15220,67720
90,70,120.0,LUG+RE,96,16100,11900,58500
160,110,364.0,RE+CL,300,36600,23500,111100
100,50,600.0,RE+CL,95,11500,13250,37150
150,35,100.0,CL+RE,77,8350,13480,29780
350,80,570.0,TR+RE,980,361800,103550,524750
125,71,1080.0,RE,230,71400,48200,154200
200,125,400.0,RE,420,129130,76500,258130
80,45,300.0,RE+CL,54,5730,11352,28182
100,56,175.0,RE+CL,79,7500,14595,34395
80,56,300.0,RE+CL,57,5770,11870,33640
50,20,75.0,,15,2800,9000,16400
63,45,100.0,RE+CL,43,5880,14500,37880
80,45,500.0,RE+TR,70,9200,15700,45400
220,120,450.0,BC TR,730,13417,65200,255437
140,80,100.0,,188,22200,22800,62000
360,56,250.0,,474,57200,43800,213600
180,100,475.0,,747,92500,51800,201800
100,70,400.0,CL+RE,176,22800,22200,75500
125,90,460.0,TR+RE,324,35700,27600,97300
120,90,4700.0,RE+TR,1183,181350,188180,757230
240,130,335.0,,1435,254500,96500,409070
200,140,1550.0,MF,845,120600,57200,207800
125,90,2400.0,RE+TR,680,125700,47600,200300
160,40,125.0,DA CL,97,13600,18200,45500
80,45,65.0,RE+CL,47,6100,13500,27700
120,80,500.0,RE+CL,152,17800,18400,50200
160,40,125.0,CL,98,13600,18200,45300
100,36,500.0,MF,43,8500,13000,30600
50,40,450.0,,31,7200,16250,29650
100,25,250.0,RE+CL,56,10011,11600,28111
125,35,250.0,RE+CL,70,14200,13300,37100
160,40,700.0,RE+CL,164,28980,21500,64480
200,40,80.0,,116,14600,21750,51850
250,180,310.0,RE+CL,988,145400,55500,374000
80,45,430.0,RE,113,14400,30950,195350
152,90,610.0,DA RF,326,45700,28500,91800
80,50,175.0,CL+RE,51,8000,11500,32100
70,40,90.0,CL,55,10100,14900,38200
80,56,380.0,RE+CL,163,22900,20100,64300
127,50,520.0,RE DA,130,19300,18300,55000
100,56,600.0,RE+CL,232,30700,26600,89100
400,200,4950.0,RE+CL,8325,2643754,526500,3915670
32,12,50.0,DA+RE,16,2150,9550,16700
140,100,400.0,TR+RE,296,33400,25500,76900
36,36,280.0,RE+CL,78,9500,14550,34000
125,90,480.0,TR+RE,388,45300,46200,125800
100,70,600.0,RE+CL,148,17200,19650,62450
125,90,1150.0,RE+CL,406,43600,32100,91200
100,25,100.0,,74,11700,21500,51200
127,35,400.0,RE+CL,121,18800,25500,59100
80,50,175.0,CL+RE,52,7900,11500,28900
70,40,95.0,CL,60,10100,14800,38100
140,80,253.0,,3210,391016,85500,584600
100,25,250.0,RE+CL,60,16400,17500,42800
100,60,200.0,RE+CL,90,12300,16500,49200
100,25,240.0,RE,40,7450,11700,24050
150,85,830.0,RE CL,213,30300,22200,85000
300,180,1070.0,,1148,167000,97800,351265
140,110,700.0,TR+RE,625,84820,41100,159420
200,100,250.0,MF,430,50900,39200,124700
125,85,150.0,,189,20400,21900,68800
250,90,300.0,TR+RE,400,47500,38600,163700
80,56,400.0,CL,85,10700,15100,33900
100,80,740.0,FF,233,29600,27800,85900
80,40,225.0,,51,9500,15900,40050
152,35,150.0,MF,72,10200,14800,35700
125,90,350.0,RE,146,14200,16200,51400
150,91,1000.0,RE+CL,385,64600,35860,121460
125,90,150.0,MF,111,11980,13850,35030
80,56,180.0,RE+CL,69,8900,13700,33800
125,90,150.0,MF,111,11980,13850,335030
125,90,280.0,RE+CL,162,17300,15300,55500
80,50,160.0,RE+CL,67,8500,13750,33050
125,90,330.0,RE+CL,174,18970,16200,59170
140,125,375.0,CL,226,21950,17850,49850
125,90,302.0,RE+CL,159,16950,18850,50900
125,70,190.0,RE+CL,97,17500,16300,44000
125,90,250.0,RE+TR,130,14100,14980,41880
125,90,450.0,RE+TR,158,18000,19000,50000
125,90,375.0,RE+TR,150,16500,18400,47800
125,90,500.0,RE+TR,161,18500,19500,51100
125,90,100.0,CL,131,13200,14400,39800
125,70,140.0,RE+CL,96,13600,16200,45100
80,56,180.0,RE+CL,68,8900,13700,33800
280,200,710.0,RE+TR,2319,293010,115500,651310
100,30,310.0,RE+CL,50,8200,14850,28050
190,170,137.0,,40,4300,4000,8800
125,70,400.0,RE+TR,137,17600,19300,52250
80,56,1200.0,RE CL ,80,10300,13200,32850
200,40,1000.0,RE+CL,211,31800,30600,77200
150,63,355.0,CL+RE,176,27000,27500,67600
85,75,60.0,DA,67,9600,9800,25000
63,45,180.0,LUG,60,8900,16700,36000
250,75,254.0,FL,350,39900,36600,98500
200,60,500.0,TR+RE,214,26500,25200,66200
125,56,75.0,CL DA,124,16900,23400,48800
250,36,360.0,RE+CL,266,35500,30200,113700
200,40,160.0,RE+CL,118,17100,18500,49400
250,75,654.0,FL,371,44300,41200,108000
63,36,927.0,RE+CL,67,15200,15300,383000
125,32,600.0,FF,76,11800,16200,32500
125,90,1207.0,TR+RE,303,38000,28500,108600
160,110,364.0,RE+CL,300,39600,24700,114800
125,90,3962.0,RE+CL,265,32300,26950,85700
160,110,700.0,RE+CL,660,116720,44400,253420
140,100,350.0,RE+CL,285,70150,32565,193570
480,320,1000.0,,4455,753900,216000,1201400
480,480,1000.0,,5974,898649,247792,1496641
150,75,3962.0,LUG,594,70200,55710,139910
114,57,1500.0,RE+CL,100,13700,20500,53700
125,80,700.0,,171,19300,16800,62600
160,50,500.0,RE,127,19200,22100,51800
100,70,300.0,RE+CL,108,15200,16500,56200
90,55,980.0,RE+CL,93,14600,21300,46400
70,45,410.0,RE+CL,47,5600,13500,28100
70,45,255.0,RE+CL,61,7500,15600,31100
320,200,3250.0,,3570,503800,292000,1183850
80,50,150.0,,412,68600,23300,105900
250,120,240.0,,735,151700,55900,277900
250,180,500.0,RE+CL,990,137600,77400,315100
140,100,400.0,TR+RE,315,35100,28800,81900
125,90,1450.0,,556,75400,52800,153700
125,70,1100.0,RE+TR,199,24050,25100,63650
126,76,620.0,RE+CL,198,26395,26525,98170
125,90,700.0,RE+CL,216,20650,21350,73400
100,70,1200.0,RE,220,24400,19100,68300
100,70,330.0,DA TR,130,15200,26100,188300
100,70,330.0,DA TR,130,15200,20500,57700
80,56,300.0,DA TR,80,10500,12850,40750
125,80,625.0,TR+RE,306,39200,41300,262200
100,70,107.0,RE+CL,152,16800,14500,60350
140,90,460.0,RE+CL,270,36350,22600,123950
125,90,700.0,RE+CL,216,20650,21350,73400
100,70,1200.0,RE,220,244400,19100,68300
100,70,330.0,DA TR,130,15200,26100,188300
100,70,330.0,DA TR,130,15200,20500,57700
250,150,2270.0,RE+CL,2190,284500,112000,468000
80,40,200.0,RE+CL,99,12300,16500,34800
125,70,500.0,RE+TR,460,75400,45900,162200
220,125,800.0,RE,518,75950,30300,141050
100,30,490.0,CL,60,8800,13300,26100
100,25,250.0,,18,9500,16500,44150
